date,scheme,alpha,kappa,initial_soc_kwh,final_soc_kwh,plan_purchase_kwh,emergency_kwh,charge_kwh,discharge_kwh,waste_kwh,planned_cost_yuan,emergency_cost_yuan,total_cost_yuan
2025-08-08,2,0.82,0.875,6583.641596998405,8756.478466358842,48340.215330982246,0.0,15822.626008941084,10860.773884817887,27603.191956859057,29666.09000162355,0.0,29666.09000162355
2025-08-09,2,0.82,0.875,8756.478466358842,7879.897974539386,43500.74320200677,0.0,15305.798893720554,13186.619546551156,22459.63485483737,26582.95172116687,0.0,26582.95172116687
2025-08-10,2,0.82,0.875,7879.897974539386,5857.505330491821,63815.97099536041,2623.7871919554314,15119.41904559086,14066.882806571393,82.60289829637725,41057.3232854315,17822.417433758084,58879.74071918958
2025-08-11,2,0.82,0.875,5857.505330491821,6356.654492374213,72869.02675916384,86.05148968920707,20751.37383985501,16359.378564588402,4001.829640253107,46090.628046959726,580.281241169859,46670.90928812959
2025-08-12,2,0.82,0.875,6356.654492374213,6429.537134702009,73132.59546875376,409.13506430095777,18770.083616349773,15138.17335114831,2149.2766178532565,46416.73275273452,2843.2022619996496,49259.93501473417
2025-08-13,2,0.82,0.875,6429.537134702009,6894.510571067802,74530.86449338551,13.539408917237097,18703.295741668764,14731.19345802249,4451.322168656478,47355.27562282071,93.58458790744038,47448.86021072815
2025-08-14,2,0.82,0.875,6894.510571067802,6461.308148323058,73491.02682175368,27.15085401472004,19846.720017262873,16465.7253944532,4210.892069625409,46746.75621694597,188.4462663687787,46935.20248331475
2025-08-15,2,0.82,0.875,6461.308148323058,8425.093643846069,48746.53784459832,0.0,15510.750480898547,10796.300943557117,26872.36142392356,29999.592442458346,0.0,29999.592442458346
2025-08-16,2,0.82,0.875,8425.093643846069,7978.086594125584,44175.01057840239,0.0,15503.866063654805,12960.437856308827,24702.302004389752,27091.475640275377,0.0,27091.475640275377
2025-08-17,2,0.82,0.875,7978.086594125584,5996.72720589859,63887.052681848894,1025.145273787528,17870.83004460566,16258.59578553489,134.5700798989859,41243.45412245456,7008.45734416138,48251.911466615944
2025-08-18,2,0.82,0.875,5996.72720589859,6611.303767744404,72103.87968509976,137.34254960038788,21089.58522905756,16529.4451298754,3286.9665188513277,45790.78572588497,929.8260306029633,46720.61175648793
2025-08-19,2,0.82,0.875,6611.303767744404,6533.911273244124,72419.29366278893,124.76137559248468,18439.451222064898,15005.608734922826,4792.552501239337,46174.72183694191,841.5580211997793,47016.279858141694
2025-08-20,2,0.82,0.875,6533.911273244124,6309.2093936279825,72837.60503578949,2476.250521762478,19122.68959112488,15691.610260465679,1232.0851602261073,46416.931550227164,15784.374600361338,62201.3061505885
2025-08-21,2,0.82,0.875,6309.2093936279825,6544.712595963361,76266.21857426132,4.913552928823151,18669.101621056576,14910.01943095398,6667.631453754209,48079.90764382543,33.139457728447745,48113.04710155387
2025-08-22,2,0.82,0.875,6544.712595963361,8307.346337290342,48754.01616360994,0.0,14756.115857540322,10366.083477413378,23133.41438348299,29959.423977925602,0.0,29959.423977925602
2025-08-23,2,0.82,0.875,8307.346337290342,7763.538620065499,44386.74544227225,0.0,15041.506145645413,12673.046923475144,19488.28007010198,27249.838829676057,0.0,27249.838829676057
2025-08-24,2,0.82,0.875,7763.538620065499,5964.649531553223,67773.4457113932,1596.6176320192765,18922.22138411444,16945.99950079374,3660.2519767584545,43041.50564449625,10633.628143989865,53675.13378848611
2025-08-25,2,0.82,0.875,5964.649531553223,6284.719997959056,74057.49511877756,1764.3533060764785,19712.77216476206,15679.282033692023,1015.271277117327,46970.5508460744,12084.161065733366,59054.71191180777
2025-08-26,2,0.82,0.875,6284.719997959056,6779.593813526313,77631.14883173222,2.672230914766601,20195.723000256654,15913.14919619736,7822.428875254363,49113.16792977162,18.001483557325205,49131.16941332894
2025-08-27,2,0.82,0.875,6779.593813526313,6549.707268111234,76206.6011954695,6.874340381582442,20610.86103734313,16901.695331121504,4590.160962962796,48463.40124853551,46.343365682438034,48509.74461421795
2025-08-28,2,0.82,0.875,6549.707268111234,6609.784992979033,76739.1126564352,72.94273657026099,21180.538874562983,17102.166536014996,1965.8880711241486,48772.5930550549,491.76763278609815,49264.360687841
2025-08-29,2,0.82,0.875,6609.784992979033,8603.149332824081,50215.4907854427,0.0,15726.11439425049,10944.124753482349,22878.280794674567,31167.662105157502,0.0,31167.662105157502
2025-08-30,2,0.82,0.875,8603.149332824081,7773.368359555816,45858.61433215975,0.0,14158.518464418867,12215.202832120716,25402.57886652826,28434.98890196164,0.0,28434.98890196164
2025-08-31,2,0.82,0.875,7773.368359555816,6239.0136319852045,68906.0268426517,727.6339669123034,19051.794928580042,16812.873146963386,748.1159446140097,44037.83147659978,5023.105394335442,49060.93687093522
2025-09-01,2,0.83,1.0,6239.0136319852045,9773.018553925265,78224.48089503587,0.0,19842.91553136537,12892.1571506599,17699.587980997065,49502.72804190304,0.0,49502.72804190304
2025-09-02,2,0.83,1.0,9773.018553925265,9537.746957816746,72755.6870197337,0.0,17867.8424054852,14684.69678494068,15514.785549189186,46834.16501649223,0.0,46834.16501649223
2025-09-03,2,0.83,1.0,9537.746957816746,7509.820598383782,61176.8060838678,0.0,16044.710268280309,14821.349040796718,4405.727606384215,39199.96956319106,0.0,39199.96956319106
2025-09-04,2,0.83,1.0,7509.820598383782,7486.959002851288,63452.96383130629,0.0,19685.851940264114,15966.115507593182,5807.661848635359,40258.548985306435,0.0,40258.548985306435
2025-09-05,2,0.83,1.0,7486.959002851288,9859.177811944046,42997.45020069686,0.0,15935.81516300518,10773.013353850713,31010.38672487573,26316.62618523553,0.0,26316.62618523553
2025-09-06,2,0.83,1.0,9859.177811944046,9999.98921406397,39006.7995930838,0.0,16383.826549651025,13144.169243309396,28046.058586742176,23979.749443146757,0.0,23979.749443146757
2025-09-07,2,0.83,1.0,9999.98921406397,6585.425382419965,54912.81721363681,590.7077050806458,16667.843413463375,16574.060613384932,448.75850197234274,35658.11420858426,3850.863208384574,39508.97741696883
2025-09-08,2,0.83,1.0,6585.425382419965,6344.508263289971,62109.46931270057,1644.3748474050758,19041.96127457795,15640.81403962514,957.1273918195012,38887.967348703794,11263.712036095738,50151.67938479953
2025-09-09,2,0.83,1.0,6344.508263289971,6890.006417786235,64100.98376220129,0.0,20056.04893130164,15754.451295307694,6696.551859540687,40025.53680207099,0.0,40025.53680207099
2025-09-10,2,0.83,1.0,6890.006417786235,6350.640779853058,62973.332313183346,2417.5592317714227,19129.780219852837,15980.55105222066,925.6637273226013,39599.904799892065,14913.091325679707,54512.99612557177
2025-09-11,2,0.83,1.0,6350.640779853058,7335.209568783617,68563.54890068027,0.0,20640.370410018273,15832.588122077303,10259.680829405963,42736.38393783441,0.0,42736.38393783441
2025-09-12,2,0.83,1.0,7335.209568783617,9992.276834687787,42986.09301720084,0.0,15826.616321568003,10428.19868115633,26036.019176789167,26083.525328499243,0.0,26083.525328499243
2025-09-13,2,0.83,1.0,9992.276834687787,9795.598399632696,38857.774070429616,0.0,15673.061629005308,12872.190511043878,28049.80146913485,23701.895695428124,0.0,23701.895695428124
2025-09-14,2,0.83,1.0,9795.598399632696,6267.530787023428,58509.32557566764,1905.9807063804692,16002.966619143073,16137.663812854227,450.6787257592593,37233.46175920632,12220.863774889476,49454.3255340958
2025-09-15,2,0.83,1.0,6267.530787023428,6702.905636362893,67404.31603776907,1.1717666666667128,21011.008727752655,16627.079705074135,7954.528148423878,41829.08311593364,7.893606150000311,41836.97672208364
2025-09-16,2,0.83,1.0,6702.905636362893,6360.897171856656,66173.81267848567,8.238266666666732,19778.742898591125,16328.589365914428,3240.1274291423,41326.68591376503,55.3817476666671,41382.0676614317
2025-09-17,2,0.83,1.0,6360.897171856656,6473.424635782089,67674.53817618388,7.62916666666672,21145.079167049378,17026.239407777106,3603.2091835782844,42042.899676938745,34.70889375000024,42077.608570688746
2025-09-18,2,0.83,1.0,6473.424635782089,6564.682188533336,69920.29004537732,0.0,20239.20516856992,16311.624389065513,7036.658149206255,43660.458415017914,0.0,43660.458415017914
2025-09-19,2,0.83,1.0,6564.682188533336,9935.592126247648,44343.124403071044,0.0,15948.108683153721,9884.149089411632,22177.812492662288,26534.17812390861,0.0,26534.17812390861
2025-09-20,2,0.83,1.0,9935.592126247648,9463.363076876883,39033.6352725148,0.0,15672.614521286974,13119.823906676138,20835.41092457064,23635.824357787704,0.0,23635.824357787704
2025-09-21,2,0.83,1.0,9463.363076876883,6307.4249120677,63758.058283670776,214.31183371276853,16173.660676177238,15941.009496031827,5452.231453904809,40049.68877495799,1332.9418456669032,41382.63062062489
2025-09-22,2,0.83,1.0,6307.4249120677,6321.198005687292,70264.41492809977,19.555900000000065,19856.52480552517,16071.38930821775,5884.815447459009,43580.30227421633,131.78740035000044,43712.089674566334
2025-09-23,2,0.83,1.0,6321.198005687292,6365.140836262894,70459.87502053671,105.15708313367543,20779.880759381176,16792.154867580713,4460.690628536586,43727.20264457924,548.9689957200205,44276.17164029926
2025-09-24,2,0.83,1.0,6365.140836262894,6555.384318218061,70936.00243031616,0.0,20962.209990316318,16808.170958396568,5718.738298396419,44098.70956411035,0.0,44098.70956411035
