date,history_start,history_end,risk_index,alpha,kappa,controller,risk_score_0,risk_score_1,risk_score_2,risk_score_3,risk_score_4,risk_score_5,greedy_score,mpc_score
2025-08-09,2025-07-12,2025-08-08,1,0.85,0.8,mpc,1425951.991666331,1421820.0133139852,1424630.942103731,1432874.5084080417,1431943.5682929233,1445671.3043724073,1431624.6079763512,1429856.990335097
2025-08-16,2025-07-19,2025-08-15,4,0.95,0.6,mpc,1409188.698071577,1400762.2533096636,1394722.581879542,1401618.799429788,1392143.8505150927,1404540.411193743,1405457.207652366,1400123.1989489521
2025-08-23,2025-07-26,2025-08-22,4,0.95,0.6,mpc,1395296.790196679,1386775.059002899,1376838.5156161576,1379433.5647994261,1371657.4591730167,1378648.0658322673,1383497.926213078,1376803.4176228081
2025-08-30,2025-08-02,2025-08-29,4,0.95,0.6,mpc,1348853.232396839,1342371.3576718376,1335774.7030186676,1340099.6790420827,1333756.3796164058,1341394.4950886224,1342195.3935936852,1335485.3497220073
2025-09-06,2025-08-09,2025-09-05,2,0.9,0.7,mpc,1291841.494993235,1287933.6669303442,1284068.2557993277,1289684.5682962777,1284877.2361450472,1294444.7752694783,1294788.878340781,1289994.9737033222
2025-09-13,2025-08-16,2025-09-12,0,0.8,1.0,mpc,1253757.5606987616,1256736.8636556517,1257522.1359642842,1254752.2969661292,1258682.4861558876,1256690.094798448,1262021.0913774648,1252777.752050139
2025-09-20,2025-08-23,2025-09-19,2,0.9,0.7,mpc,1170491.4259920148,1170249.2310086538,1167978.6719676396,1172007.7854898355,1170810.1922460576,1176703.9332206012,1181695.4205136264,1173657.7909204008
2025-09-27,2025-08-30,2025-09-26,4,0.95,0.6,mpc,1099175.0441956653,1099427.0004715652,1096265.0692532293,1097316.808093331,1096260.5819050015,1098432.8565455782,1108530.7267676643,1100476.6311646712
2025-10-04,2025-09-06,2025-10-03,4,0.95,0.6,mpc,1081554.5588810863,1080018.544142937,1072376.063473766,1072973.458945656,1068199.3764699392,1069652.5527298397,1080453.1330380465,1072399.0374350531
2025-10-11,2025-09-13,2025-10-10,4,0.95,0.6,mpc,1014835.1797953412,1010600.881571728,1004635.7739162141,1012964.0004420651,1004024.2575940455,1014906.0982394847,1012917.0574533094,1012375.4765573986
2025-10-18,2025-09-20,2025-10-17,2,0.9,0.7,mpc,1003003.8824308251,1003041.3711385881,1001650.1394093423,1002776.0978439628,1002526.6481331966,1003168.2876100712,1003895.6544646266,1002987.0253788938
2025-10-25,2025-09-27,2025-10-24,2,0.9,0.7,mpc,1014479.5267254249,1014766.961989815,1012977.1795516568,1013171.9197190192,1015918.2383198867,1014590.0831197083,1015216.620824497,1014277.9835146434
2025-11-01,2025-10-04,2025-10-31,3,0.9,0.8,mpc,1033173.1590828061,1032786.9938988425,1032807.6930709268,1031495.6431196306,1035428.0142861726,1031559.3928943167,1035287.8554464587,1033710.4522267577
2025-11-08,2025-10-11,2025-11-07,3,0.9,0.8,mpc,1094234.1471443633,1092904.5623465697,1093103.5435085339,1092251.3837116903,1095397.7101232368,1093023.0508307407,1096291.1216835938,1095191.4762885217
2025-11-15,2025-10-18,2025-11-14,2,0.9,0.7,mpc,1154878.2113717597,1152513.0799237525,1151663.7955904747,1154302.4153949565,1151891.436115455,1155007.6257732804,1154522.7521543421,1153142.4716478249
2025-11-22,2025-10-25,2025-11-21,4,0.95,0.6,mpc,1197289.19121331,1193876.1567408917,1193391.3149901098,1199002.1638669036,1192749.1213273087,1200566.3142876253,1196283.313007053,1194963.8873694837
2025-11-29,2025-11-01,2025-11-28,2,0.9,0.7,mpc,1241679.7473723332,1237691.388610708,1237467.0070718247,1245066.2704673363,1237998.2810275026,1248773.757809898,1240979.9394981733,1240295.3602790332
2025-12-06,2025-11-08,2025-12-05,0,0.8,1.0,mpc,1358953.4560552153,1362624.2555545645,1367089.628236804,1364023.1649822872,1371309.9098801487,1365278.62280332,1369646.8937706547,1365404.7267735712
2025-12-13,2025-11-15,2025-12-12,0,0.8,1.0,mpc,1488683.1872179513,1490285.3464444233,1497127.9564932121,1497816.413774092,1503230.0397059172,1502473.2331758984,1498987.621068282,1495406.5514304698
2025-12-20,2025-11-22,2025-12-19,0,0.8,1.0,mpc,1589517.5541730293,1592214.5747422872,1599682.8811137895,1599570.161926963,1607143.2005155191,1605490.9050550456,1601235.5913381584,1597469.0497630094
2025-12-27,2025-11-29,2025-12-26,0,0.8,1.0,mpc,1685441.2574903974,1687299.6811418724,1693324.6959438992,1691526.4341369518,1699431.1523731118,1695668.9436219248,1697379.0555901702,1692579.9608908202
