date,slot,period,price_yuan_per_kwh,load_kwh,pv_kwh,plan_purchase_kwh,charge_kwh,discharge_kwh,emergency_kwh,waste_kwh,soc_start_kwh,soc_end_kwh
2025-12-16,10,01:40-01:50,0.4351,615.2198166666667,0.0,1471.3390744639091,714.1226900677106,0.0,0.0,141.99656772953188,10157.28957893906,10800.0
2025-12-16,11,01:50-02:00,0.5096,636.83,0.0,635.2385781416505,0.0,1.5914218583495767,0.0,0.0,10800.0,10798.231753490723
2025-12-16,12,02:00-02:10,0.5035,651.7603833333334,0.0,640.6918840300857,0.0,11.068499303247677,0.0,0.0,10798.231753490723,10785.933420931558
2025-12-16,13,02:10-02:20,0.4731,649.5647833333334,0.0,633.9914852393402,0.0,15.573298093993117,0.0,0.0,10785.933420931558,10768.629756382677
2025-12-16,14,02:20-02:30,0.4626,638.9866666666667,0.0,638.7656828617859,0.0,0.22098380488080238,0.0,0.0,10768.629756382677,10768.384218821699
2025-12-16,15,02:30-02:40,0.4603,636.6899833333333,0.0,668.8444648926878,32.15448155935451,0.0,0.0,0.0,10768.384218821699,10797.323252225118
2025-12-16,16,02:40-02:50,0.4723,641.90885,0.0,675.5487787274254,2.9741641943130364,0.0,0.0,30.665764533112362,10797.323252225118,10800.0
2025-12-16,17,02:50-03:00,0.4797,651.195,0.0,656.5985318940078,0.0,0.0,0.0,5.403531894007756,10800.0,10800.0
2025-12-16,18,03:00-03:10,0.4549,663.0762833333333,0.0,673.2570125687639,0.0,0.0,0.0,10.18072923543059,10800.0,10800.0
2025-12-16,19,03:10-03:20,0.4517,676.1867833333333,0.0,680.5041676313521,0.0,0.0,0.0,4.317384298018737,10800.0,10800.0
2025-12-16,20,03:20-03:30,0.4693,676.485,0.0,692.6714099196823,0.0,0.0,0.0,16.18640991968232,10800.0,10800.0
2025-12-16,21,03:30-03:40,0.4553,651.1437333333333,0.0,707.0938827628186,0.0,0.0,0.0,55.950149429485236,10800.0,10800.0
2025-12-16,22,03:40-03:50,0.4503,641.12695,0.0,685.077364328774,0.0,0.0,0.0,43.95041432877406,10800.0,10800.0
2025-12-16,23,03:50-04:00,0.4715,660.1416666666667,0.0,653.3797884321009,0.0,6.761878234565756,0.0,0.0,10800.0,10792.486801961593
2025-12-16,24,04:00-04:10,0.4926,684.2999833333333,0.0,678.4467805519446,0.0,5.853202781388745,0.0,0.0,10792.486801961593,10785.983243315606
2025-12-16,25,04:10-04:20,0.502,702.9162666666666,0.0,704.7812872926766,1.8650206260099367,0.0,0.0,0.0,10785.983243315606,10787.661761879015
2025-12-16,26,04:20-04:30,0.5015,713.7333333333332,0.0,694.1014181334504,0.0,19.631915199882883,0.0,0.0,10787.661761879015,10765.848522768034
2025-12-16,27,04:30-04:40,0.499,715.57015,0.0,715.8185594516659,0.248409451665907,0.0,0.0,0.0,10765.848522768034,10766.072091274533
2025-12-16,28,04:40-04:50,0.4906,694.3600833333334,0.0,711.0784786282768,16.718395294943434,0.0,0.0,0.0,10766.072091274533,10781.118647039983
2025-12-16,29,04:50-05:00,0.4742,667.48,0.0,692.9640072632054,20.979281066686074,0.0,0.0,4.504726196519325,10781.118647039983,10800.0
2025-12-16,30,05:00-05:10,0.4624,673.7545666666666,0.00039999999999999996,690.8104032079964,0.0,0.0,0.0,17.05623654132978,10800.0,10800.0
2025-12-16,31,05:10-05:20,0.5026,698.2352,0.0,712.8322845921282,0.0,0.0,0.0,14.597084592128226,10800.0,10800.0
2025-12-16,32,05:20-05:30,0.5253,696.245,0.0,710.5707734828713,0.0,0.0,0.0,14.325773482871341,10800.0,10800.0
2025-12-16,33,05:30-05:40,0.4528,655.85995,0.0056166666666666665,665.0922633480641,0.0,0.0,0.0,9.23793001473075,10800.0,10800.0
2025-12-16,34,05:40-05:50,0.6482,747.6041,0.0,741.4209293809313,0.0,6.183170619068733,0.0,0.0,10800.0,10793.129810423257
2025-12-16,35,05:50-06:00,1.0206,910.7483333333333,0.0,901.6883289987093,0.0,9.060004334624068,0.0,0.0,10793.129810423257,10783.063138940342
2025-12-16,36,06:00-06:10,1.0895,909.8347666666667,0.07815,271.2622992517035,0.0,638.4943174149632,0.0,0.0,10783.063138940342,10073.625008479272
2025-12-16,37,06:10-06:20,1.0678,908.48105,0.0,943.4039366382187,34.922886638218756,0.0,0.0,0.0,10073.625008479272,10105.055606453669
