date,selector,history_start,history_end,risk_index,controller,selected,combo,score,window_cost_yuan,window_emergency_kwh,initial_soc_kwh,final_soc_kwh,inventory_credit_yuan
2025-09-06,continuous,2025-08-09,2025-09-05,2,greedy,0,4,1284068.2557993277,1284030.809283538,4327.665229164277,8506.627742489942,8452.3824071513,-37.446515789697294
2025-09-06,continuous,2025-08-09,2025-09-05,2,mpc,1,5,1281798.2959732749,1281760.8494574851,4411.460402103301,8506.627742489942,8452.3824071513,-37.446515789697294
2025-09-06,continuous,2025-08-09,2025-09-05,3,greedy,0,6,1289684.5682962777,1289607.489582331,3262.4859319096295,8570.961932188653,8459.305063790183,-77.07871394672821
2025-09-06,continuous,2025-08-09,2025-09-05,3,mpc,0,7,1288031.5277222134,1287954.4490082667,3317.2886935258857,8570.961932188653,8459.305063790183,-77.07871394672821
2025-09-06,continuous,2025-08-09,2025-09-05,4,greedy,0,8,1284877.236145047,1284969.0040835727,3188.447440113594,8514.33789637056,8647.273698104964,91.76793852571927
2025-09-06,continuous,2025-08-09,2025-09-05,4,mpc,0,9,1283750.8303599115,1283842.5982984372,3278.511568637999,8514.33789637056,8647.273698104964,91.76793852571927
2025-09-06,continuous,2025-08-09,2025-09-05,5,greedy,0,10,1294444.7752694786,1294497.1841115216,2128.9661840017957,8611.912126636493,8687.832012675939,52.40884204292163
2025-09-06,continuous,2025-08-09,2025-09-05,5,mpc,0,11,1293385.0584867122,1293437.4673287552,2187.3722191943034,8611.912126636493,8687.832012675939,52.40884204292163
2025-09-13,same_start,2025-08-16,2025-09-12,0,greedy,0,0,1253747.9271297671,1255095.138213487,14440.268106114487,7647.63863543981,9666.092007935418,1347.2110837200703
2025-09-13,same_start,2025-08-16,2025-09-12,0,mpc,1,1,1244693.7375119093,1246040.9485956293,15512.733476991114,7647.63863543981,9666.092007935418,1347.2110837200703
2025-09-13,same_start,2025-08-16,2025-09-12,1,greedy,0,2,1256736.8636556517,1257857.2326217773,15581.04271458756,7647.63863543981,9326.226753844583,1120.368966125646
2025-09-13,same_start,2025-08-16,2025-09-12,1,mpc,0,3,1246637.0772184276,1247757.4461845532,16555.348532328233,7647.63863543981,9326.226753844583,1120.368966125646
2025-09-13,same_start,2025-08-16,2025-09-12,2,greedy,0,4,1257514.2403843373,1258751.4323972538,14753.750471326668,7647.63863543981,9501.256395175333,1237.192012916561
2025-09-13,same_start,2025-08-16,2025-09-12,2,mpc,0,5,1248000.022328453,1249237.2143413695,15627.526657489227,7647.63863543981,9501.256395175333,1237.192012916561
2025-09-13,same_start,2025-08-16,2025-09-12,3,greedy,0,6,1254716.8057504639,1256183.5541414546,12175.551248364107,7647.63863543981,9845.18827867966,1466.7483909907626
2025-09-13,same_start,2025-08-16,2025-09-12,3,mpc,0,7,1246665.3466050476,1248132.0949960384,12965.758436249267,7647.63863543981,9845.18827867966,1466.7483909907626
2025-09-13,same_start,2025-08-16,2025-09-12,4,greedy,0,8,1258662.6159390553,1259834.6396403164,13790.919923224124,7647.63863543981,9403.618244754283,1172.023701260924
2025-09-13,same_start,2025-08-16,2025-09-12,4,mpc,0,9,1250670.6388290238,1251842.6625302848,14536.69285002862,7647.63863543981,9403.618244754283,1172.023701260924
2025-09-13,same_start,2025-08-16,2025-09-12,5,greedy,0,10,1256636.312072123,1258060.5560790664,10739.344971182563,7647.63863543981,9781.506263023,1424.2440069433808
2025-09-13,same_start,2025-08-16,2025-09-12,5,mpc,0,11,1249210.5179269263,1250634.7619338697,11381.935378878574,7647.63863543981,9781.506263023,1424.2440069433808
2025-09-13,continuous,2025-08-16,2025-09-12,0,greedy,0,0,1253757.5606987616,1255081.6365926622,14440.268106114487,7682.3008368412975,9666.092007935418,1324.0758939007064
2025-09-13,continuous,2025-08-16,2025-09-12,0,mpc,1,1,1244703.3710809033,1246027.4469748042,15512.733476991112,7682.3008368412975,9666.092007935418,1324.0758939007064
2025-09-13,continuous,2025-08-16,2025-09-12,1,greedy,0,2,1256736.8636556517,1257857.2326217773,15581.04271458756,7647.63863543981,9326.226753844583,1120.368966125646
2025-09-13,continuous,2025-08-16,2025-09-12,1,mpc,0,3,1246637.0772184276,1247757.4461845532,16555.348532328233,7647.63863543981,9326.226753844583,1120.368966125646
2025-09-13,continuous,2025-08-16,2025-09-12,2,greedy,0,4,1257522.135964284,1258740.3665994485,14753.750471326668,7676.047440365052,9501.256395175333,1218.23063516464
2025-09-13,continuous,2025-08-16,2025-09-12,2,mpc,0,5,1248007.9179083998,1249226.1485435644,15627.526657489227,7676.047440365052,9501.256395175333,1218.23063516464
2025-09-13,continuous,2025-08-16,2025-09-12,3,greedy,0,6,1254752.2969661294,1256133.812562108,12175.551248364107,7775.338314145394,9845.18827867966,1381.5155959785363
2025-09-13,continuous,2025-08-16,2025-09-12,3,mpc,0,7,1246700.8378207132,1248082.3534166918,12965.758436249269,7775.338314145394,9845.18827867966,1381.5155959785363
2025-09-13,continuous,2025-08-16,2025-09-12,4,greedy,0,8,1258682.4861558876,1259806.7911727824,13790.919923224124,7719.132954744256,9403.618244754283,1124.3050168947434
2025-09-13,continuous,2025-08-16,2025-09-12,4,mpc,0,9,1250690.509045856,1251814.814062751,14536.69285002862,7719.132954744256,9403.618244754283,1124.3050168947434
2025-09-13,continuous,2025-08-16,2025-09-12,5,greedy,0,10,1256690.0947984483,1257985.1786173815,10739.344971182563,7841.152347011413,9781.506263023,1295.0838189333206
2025-09-13,continuous,2025-08-16,2025-09-12,5,mpc,0,11,1249264.3006532514,1250559.3844721846,11381.935378878574,7841.152347011413,9781.506263023,1295.0838189333206
2025-09-20,same_start,2025-08-23,2025-09-19,0,greedy,0,0,1170517.2590388258,1171383.4526516702,11910.133671150168,7868.893020750645,9192.212084213696,866.1936128443446
2025-09-20,same_start,2025-08-23,2025-09-19,0,mpc,0,1,1163880.4701139366,1164746.663726781,12942.022676921773,7868.893020750645,9192.212084213696,866.1936128443446
2025-09-20,same_start,2025-08-23,2025-09-19,1,greedy,0,2,1170268.0552650166,1171060.826897124,13077.477688301406,7868.893020750645,9080.042350627848,792.7716321073262
2025-09-20,same_start,2025-08-23,2025-09-19,1,mpc,0,3,1162279.4989816432,1163072.2706137507,13988.311707113986,7868.893020750645,9080.042350627848,792.7716321073262
2025-09-20,same_start,2025-08-23,2025-09-19,2,greedy,0,4,1167981.362247885,1168818.7739009329,11961.0438038075,7868.893020750645,9148.24071855416,837.4116530479976
2025-09-20,same_start,2025-08-23,2025-09-19,2,mpc,1,5,1160028.6023676498,1160866.0140206977,12763.05607175445,7868.893020750645,9148.24071855416,837.4116530479976
2025-09-20,same_start,2025-08-23,2025-09-19,3,greedy,0,6,1171980.3934948167,1172952.9541749211,10106.5628459377,7868.893020750645,9354.713360767297,972.5606801043198
2025-09-20,same_start,2025-08-23,2025-09-19,3,mpc,0,7,1165356.0114824725,1166328.572162577,10860.564786301402,7868.893020750645,9354.713360767297,972.5606801043198
2025-09-20,same_start,2025-08-23,2025-09-19,4,greedy,0,8,1170810.1922460576,1171705.4040880736,11392.301778566321,7868.893020750645,9236.544408166985,895.2118420160712
2025-09-20,same_start,2025-08-23,2025-09-19,4,mpc,0,9,1164045.7287113245,1164940.9405533406,12057.11512836206,7868.893020750645,9236.544408166985,895.2118420160712
2025-09-20,same_start,2025-08-23,2025-09-19,5,greedy,0,10,1176668.388852752,1177730.9079244952,9203.133253923967,7868.893020750645,9492.146439017783,1062.5190717431262
2025-09-20,same_start,2025-08-23,2025-09-19,5,mpc,0,11,1170302.3114903218,1171364.830562065,9787.31762642747,7868.893020750645,9492.146439017783,1062.5190717431262
2025-09-20,continuous,2025-08-23,2025-09-19,0,greedy,0,0,1170491.425992015,1171421.7012543066,11910.133671150168,7770.992889562681,9192.212084213696,930.2752622915456
2025-09-20,continuous,2025-08-23,2025-09-19,0,mpc,0,1,1163854.637067126,1164784.9123294177,12942.022676921773,7770.992889562681,9192.212084213696,930.2752622915456
2025-09-20,continuous,2025-08-23,2025-09-19,1,greedy,0,2,1170249.2310086538,1171088.6982321169,13077.477688301407,7797.554274649769,9080.042350627848,839.4672234631962
2025-09-20,continuous,2025-08-23,2025-09-19,1,mpc,0,3,1162260.6747252806,1163100.1419487437,13988.311707113988,7797.554274649769,9080.042350627848,839.4672234631962
2025-09-20,continuous,2025-08-23,2025-09-19,2,greedy,0,4,1167978.6719676396,1168822.7571500186,11961.043803807503,7858.697599711673,9148.24071855416,844.0851823789399
2025-09-20,continuous,2025-08-23,2025-09-19,2,mpc,1,5,1160025.9120874042,1160869.9972697832,12763.05607175445,7858.697599711673,9148.24071855416,844.0851823789399
2025-09-20,continuous,2025-08-23,2025-09-19,3,greedy,0,6,1172007.7854898358,1172912.3973818896,10106.5628459377,7972.701136203174,9354.713360767297,904.6118920538556
2025-09-20,continuous,2025-08-23,2025-09-19,3,mpc,0,7,1165383.4034774913,1166288.0153695452,10860.564786301404,7972.701136203174,9354.713360767297,904.6118920538556
2025-09-20,continuous,2025-08-23,2025-09-19,4,greedy,0,8,1170810.1922460576,1171705.4040880736,11392.301778566321,7868.893020750645,9236.544408166985,895.2118420160712
2025-09-20,continuous,2025-08-23,2025-09-19,4,mpc,0,9,1164045.7287113245,1164940.9405533406,12057.115128362058,7868.893020750645,9236.544408166985,895.2118420160712
2025-09-20,continuous,2025-08-23,2025-09-19,5,greedy,0,10,1176703.9332206012,1177678.2806671774,9203.133253923967,8003.596383497222,9492.146439017783,974.3474465763301
2025-09-20,continuous,2025-08-23,2025-09-19,5,mpc,0,11,1170337.855858171,1171312.2033047471,9787.31762642747,8003.596383497222,9492.146439017783,974.3474465763301
2025-09-27,same_start,2025-08-30,2025-09-26,0,greedy,0,0,1099269.5739683262,1099549.250587168,11982.115152884431,8596.64217972579,9028.708215197998,279.6766188415955
2025-09-27,same_start,2025-08-30,2025-09-26,0,mpc,0,1,1092690.8092279802,1092970.485846822,13014.00415865604,8596.64217972579,9028.708215197998,279.6766188415955
2025-09-27,same_start,2025-08-30,2025-09-26,1,greedy,0,2,1099503.754725272,1099713.3966502245,13653.37034057641,8596.64217972579,8920.51321248534,209.6419249523566
2025-09-27,same_start,2025-08-30,2025-09-26,1,mpc,0,3,1091548.5621700122,1091758.2040949645,14564.204359388987,8596.64217972579,8920.51321248534,209.6419249523566
2025-09-27,same_start,2025-08-30,2025-09-26,2,greedy,0,4,1096310.471217513,1096535.7191734682,12809.546915148621,8596.64217972579,8944.622614167638,225.24795595507
2025-09-27,same_start,2025-08-30,2025-09-26,2,mpc,1,5,1088278.1794557176,1088503.4274116727,13611.559183095571,8596.64217972579,8944.622614167638,225.24795595507
2025-09-27,same_start,2025-08-30,2025-09-26,3,greedy,0,6,1097344.1377426498,1097672.2265756205,10436.409565337057,8596.64217972579,9103.49914163968,328.0888329708079
2025-09-27,same_start,2025-08-30,2025-09-26,3,mpc,0,7,1090715.193801531,1091043.2826345018,11190.411505700762,8596.64217972579,9103.49914163968,328.0888329708079
2025-09-27,same_start,2025-08-30,2025-09-26,4,greedy,0,8,1096260.5819050015,1096519.1144533982,12056.58748735007,8596.64217972579,8996.043222576185,258.5325483965077
2025-09-27,same_start,2025-08-30,2025-09-26,4,mpc,0,9,1089496.8195040817,1089755.3520524784,12721.400837145813,8596.64217972579,8996.043222576185,258.5325483965077
2025-09-27,same_start,2025-08-30,2025-09-26,5,greedy,0,10,1098404.2051840718,1098794.225728697,9241.723537068616,8596.64217972579,9199.176031739758,390.0205446250786
2025-09-27,same_start,2025-08-30,2025-09-26,5,mpc,0,11,1092038.1278216413,1092428.1483662664,9825.907909572119,8596.64217972579,9199.176031739758,390.0205446250786
2025-09-27,continuous,2025-08-30,2025-09-26,0,greedy,0,0,1099175.0441956653,1099692.5328311413,11982.115152884433,8229.251814237079,9028.708215197998,517.4886354759601
2025-09-27,continuous,2025-08-30,2025-09-26,0,mpc,0,1,1092596.2794553195,1093113.7680907955,13014.00415865604,8229.251814237079,9028.708215197998,517.4886354759601
2025-09-27,continuous,2025-08-30,2025-09-26,1,greedy,0,2,1099427.0004715652,1099829.7358880755,13653.370340576412,8298.336444628738,8920.51321248534,402.73541651046986
2025-09-27,continuous,2025-08-30,2025-09-26,1,mpc,0,3,1091471.807916305,1091874.5433328154,14564.204359388992,8298.336444628738,8920.51321248534,402.73541651046986
2025-09-27,continuous,2025-08-30,2025-09-26,2,greedy,0,4,1096265.069253229,1096604.5365961725,12809.546915148623,8420.187251478565,8944.622614167638,339.46734294341553
2025-09-27,continuous,2025-08-30,2025-09-26,2,mpc,1,5,1088232.7774914338,1088572.2448343772,13611.559183095573,8420.187251478565,8944.622614167638,339.46734294341553
2025-09-27,continuous,2025-08-30,2025-09-26,3,greedy,0,6,1097316.8080933308,1097713.6511276022,10436.409565337059,8490.425380834698,9103.49914163968,396.84303427147694
2025-09-27,continuous,2025-08-30,2025-09-26,3,mpc,0,7,1090687.864152212,1091084.7071864833,11190.41150570076,8490.425380834698,9103.49914163968,396.84303427147694
2025-09-27,continuous,2025-08-30,2025-09-26,4,greedy,0,8,1096260.5819050018,1096519.1144533984,12056.58748735007,8596.64217972579,8996.043222576185,258.5325483965077
2025-09-27,continuous,2025-08-30,2025-09-26,4,mpc,0,9,1089496.819504082,1089755.3520524786,12721.40083714581,8596.64217972579,8996.043222576185,258.5325483965077
2025-09-27,continuous,2025-08-30,2025-09-26,5,greedy,0,10,1098432.8565455782,1098750.7978090695,9241.72353706862,8707.995818682484,9199.176031739758,317.9412634913981
2025-09-27,continuous,2025-08-30,2025-09-26,5,mpc,0,11,1092066.7791831477,1092384.720446639,9825.90790957212,8707.995818682484,9199.176031739758,317.9412634913981
2025-10-04,same_start,2025-09-06,2025-10-03,0,greedy,0,0,1081627.6666559929,1082176.6197596297,12418.393089580984,8647.273698104964,9498.486184035111,548.9531036368013
2025-10-04,same_start,2025-09-06,2025-10-03,0,mpc,0,1,1073664.3121978953,1074213.265301532,13177.044004573765,8647.273698104964,9498.486184035111,548.9531036368013
2025-10-04,same_start,2025-09-06,2025-10-03,1,greedy,0,2,1080092.6361423195,1080685.0162075716,14476.736221511956,8647.273698104964,9565.824489817682,592.3800652521405
2025-10-04,same_start,2025-09-06,2025-10-03,1,mpc,0,3,1071407.3093954439,1071999.689460696,15277.850127043821,8647.273698104964,9565.824489817682,592.3800652521405
2025-10-04,same_start,2025-09-06,2025-10-03,2,greedy,0,4,1072438.5976505957,1073161.3206832514,13371.25256248104,8647.273698104964,9767.93567303551,722.7230326557435
2025-10-04,same_start,2025-09-06,2025-10-03,2,mpc,0,5,1064469.9742374246,1065192.6972700802,14206.391303928986,8647.273698104964,9767.93567303551,722.7230326557435
2025-10-04,same_start,2025-09-06,2025-10-03,3,greedy,0,6,1073033.7625254316,1073826.8619804545,10679.295360914863,8647.273698104964,9877.062097564543,793.0994550228795
2025-10-04,same_start,2025-09-06,2025-10-03,3,mpc,0,7,1066404.8185843127,1067197.9180393356,11433.297301278568,8647.273698104964,9877.062097564543,793.0994550228795
2025-10-04,same_start,2025-09-06,2025-10-03,4,greedy,0,8,1068199.3764699392,1068934.335855592,12637.453893710206,8647.273698104964,9786.909491353266,734.959385652835
2025-10-04,same_start,2025-09-06,2025-10-03,4,mpc,1,9,1061435.6140690197,1062170.5734546725,13302.267243505945,8647.273698104964,9786.909491353266,734.959385652835
2025-10-04,same_start,2025-09-06,2025-10-03,5,greedy,0,10,1069639.5409230178,1070458.9386414182,9533.867230503407,8647.273698104964,9917.840462778158,819.3977184004282
