date,day,risk_index,controller,plan_purchase_kwh,emergency_kwh,charge_kwh,discharge_kwh,waste_kwh,soc_start_kwh,soc_end_kwh,planned_cost_yuan,emergency_cost_yuan,total_cost_yuan
2025-04-08,97,0,mpc,62243.404421552674,713.1420100163602,21069.184040451182,17448.427069315323,4982.595843766504,6541.010964766823,6116.135413044753,36405.677126417024,3920.0575548548113,40325.73468127183
2025-04-09,98,0,mpc,63344.71282967894,450.918008113852,20382.058987178207,16392.973306343767,672.2341402916801,6116.135413044753,6245.573716678733,37826.801443115546,2212.0047325070595,40038.80617562261
2025-04-10,99,0,mpc,67799.25649047969,0.0,21647.192557769456,17403.787737609295,9095.213770319528,6245.573716678733,6390.505087994249,39737.23173431092,0.0,39737.23173431092
2025-04-11,100,0,mpc,30126.414236485492,0.0,19558.760739010067,15668.038612966595,20919.04194377535,6390.505087994249,6584.457960918203,11339.944302968324,0.0,11339.944302968324
2025-04-12,101,0,mpc,29493.386435094704,0.0,18297.088440805335,14779.119662758694,16950.257107048063,6584.457960918203,6630.593487911117,10973.389441052883,0.0,10973.389441052883
2025-04-13,102,0,mpc,62706.91016135857,0.0,21513.283008055776,17456.08643085984,4373.355100829296,6630.593487911117,6596.896605317052,37221.715894359186,0.0,37221.715894359186
2025-04-14,103,0,mpc,62705.35850444006,0.0,20712.69451845651,16911.938291274662,6376.57047725821,6596.896605317052,6447.279126067179,36702.99178532244,0.0,36702.99178532244
2025-04-15,104,0,mpc,62557.0143813223,0.0,20039.36606730483,16147.636437624114,8525.855918308253,6447.279126067179,6540.890322614731,36038.546462962826,0.0,36038.546462962826
2025-04-16,105,0,mpc,59649.93623409156,0.0,20333.490109857798,16726.451697665256,263.30587189902485,6540.890322614731,6256.085090747574,35524.201471264925,0.0,35524.201471264925
2025-04-17,106,0,mpc,63547.107753423916,0.0,20000.511351582245,16042.24935659959,6720.503408441269,6256.085090747574,6431.823799838709,36720.17183855901,0.0,36720.17183855901
2025-04-18,107,0,mpc,28336.123867085058,0.0,17965.30125013403,14164.713306186613,18181.418739804307,6431.823799838709,6862.024584751992,10641.81775384793,0.0,10641.81775384793
