date,slot,period,actual_load_kwh,old_load_forecast_kwh,new_load_forecast_kwh,actual_pv_kwh,pv_forecast_kwh
2025-02-11,43,07:10-07:20,900.88895,872.7119370991402,875.8096574513039,189.75469999999999,172.20872462765914
2025-02-11,44,07:20-07:30,895.0566666666667,851.3488475290882,870.1220663540054,229.94375,222.67422329268382
2025-02-11,45,07:30-07:40,839.0225666666666,841.3195062915261,834.0898293210846,269.62076666666667,271.92203430445323
2025-02-11,46,07:40-07:50,943.4882166666666,963.3505982580484,960.3351129527692,321.2078666666667,323.5446421826463
2025-02-11,47,07:50-08:00,1154.285,1152.7165932750493,1175.4491654468281,382.5,376.6271710374562
2025-02-11,48,08:00-08:10,1194.4817500000001,1168.640754177182,1196.5714766995893,439.23988333333335,425.40250236301443
2025-02-11,49,08:10-08:20,1167.50055,1151.7520249237668,1163.996911942071,493.72603333333336,471.4853474786685
2025-02-11,50,08:20-08:30,1154.7116666666668,1162.7871919481497,1167.7852675281868,540.6875,516.4277635257379
2025-02-11,51,08:30-08:40,1131.9424000000001,1109.6986626037015,1155.5169338830874,571.9331833333333,560.9910565719051
2025-02-11,52,08:40-08:50,1133.3505,1084.5862429800789,1142.0355238667769,613.776,610.4642085318867
2025-02-11,53,08:50-09:00,1161.5016666666668,1116.3593365305285,1141.4435629947793,670.1999999999999,665.8964458001587
2025-02-11,54,09:00-09:10,1177.4988666666666,1088.343089159883,1146.9362171644734,718.9774333333334,720.1899330985855
2025-02-11,55,09:10-09:20,1167.7255333333333,1098.8008602247032,1146.1186515792463,757.9748166666667,756.5803596738476
2025-02-11,56,09:20-09:30,1151.0983333333334,1145.6518695093334,1143.6146404625829,804.05625,786.608357826949
2025-02-11,57,09:30-09:40,1155.9647333333335,1138.8369283969307,1152.3248403078892,871.3607333333333,838.4581290920853
2025-02-11,58,09:40-09:50,1147.8752166666666,1128.1536597311579,1147.2894315701749,911.6643166666667,885.428372784756
2025-02-11,59,09:50-10:00,1127.4666666666667,1139.9261575857934,1135.9169320446981,930.7687500000001,913.8192293597785
2025-02-11,60,10:00-10:10,1131.4463666666668,1134.4911980102665,1149.4945412454133,978.5590833333334,937.0076269642533
2025-02-11,61,10:10-10:20,1137.6555666666666,1106.2867134956439,1149.0208616937196,1006.0191,967.7655637462924
2025-02-11,62,10:20-10:30,1134.2316666666668,1074.8078777130843,1130.4812014532386,1025.78125,1003.1087058203325
2025-02-11,63,10:30-10:40,1131.9606166666667,1082.702492099698,1131.3230385427582,1099.9006166666666,1028.5376099934338
2025-02-11,64,10:40-10:50,1130.0614,1092.9424131979638,1143.1639520503743,1144.0804,1044.7523325753966
2025-02-11,65,10:50-11:00,1127.6433333333332,1098.134829816151,1154.784853433898,1139.3062499999999,1057.0825086355885
2025-02-11,66,11:00-11:10,1124.3298666666667,1126.8892913284344,1160.077160996109,1149.4656666666667,1072.169195111146
2025-02-11,67,11:10-11:20,1110.6014166666666,1131.363468729034,1138.4606898974396,1159.6445,1098.0927716333827
2025-02-11,68,11:20-11:30,1098.5633333333333,1098.0298050890103,1108.8679783795785,1154.6312500000001,1116.8903886423
2025-02-11,69,11:30-11:40,1109.6848499999999,1074.1692647989003,1109.8010982743504,1144.0975166666667,1101.9515628537165
2025-02-11,70,11:40-11:50,1108.5717666666667,1056.8330794011622,1088.5914395367406,1153.2011,1095.6507177765548
2025-02-11,71,11:50-12:00,1078.535,1033.9516342040247,1048.4281082240632,1167.2124999999999,1112.2259951776969
2025-02-11,72,12:00-12:10,1042.14405,1013.7389255371868,1047.5125753316024,1149.2664833333333,1125.0006179329298
2025-02-11,73,12:10-12:20,1043.2970333333333,1024.3814833152462,1049.473201841083,1145.3656666666668,1126.6022720238152
2025-02-11,74,12:20-12:30,1063.305,1042.4481407962865,1036.181501981756,1160.7749999999999,1121.2186262212165
2025-02-11,75,12:30-12:40,1046.62295,1021.89730421691,1033.1549412852303,1155.1956166666666,1115.7377774093654
2025-02-11,76,12:40-12:50,1056.4675333333332,1036.3432285010542,1066.925793561139,1151.8869333333334,1103.3779411834855
2025-02-11,77,12:50-13:00,1094.76,1086.6927486887512,1105.9070654786324,1147.04375,1084.2501457235
2025-02-11,78,13:00-13:10,1089.6931,1094.3848848616776,1089.1810170456765,1109.8751333333332,1067.3811390916285
2025-02-11,79,13:10-13:20,1042.8855666666666,1080.9063803715226,1067.8049330539225,1074.44225,1055.5180613672396
2025-02-11,80,13:20-13:30,1007.7966666666666,1063.2445593517082,1068.8108508334587,1051.8125,1040.0010003020445
2025-02-11,81,13:30-13:40,1037.8496833333334,1045.5108006028618,1068.69983599914,1023.8080666666666,1005.5380933085436
2025-02-11,82,13:40-13:50,1060.3122166666667,1026.654112453393,1053.7487279223612,1012.0489166666666,950.0552222210996
2025-02-11,83,13:50-14:00,1059.1183333333333,1007.3167405530842,1042.3472067945838,1003.80625,894.3045133101061
2025-02-11,84,14:00-14:10,1083.39545,1002.2151808946217,1060.302843316332,958.7878833333333,864.7616338719658
2025-02-11,85,14:10-14:20,1091.1159833333334,998.6192182995461,1050.5251684120476,904.0671833333334,834.3073284134442
2025-02-11,86,14:20-14:30,1069.2749999999999,997.4552551842834,1021.1352755480079,854.0625,788.8424831085508
2025-02-11,87,14:30-14:40,1051.5968833333334,1003.356030845645,1037.0863596247834,799.73565,740.6825430136918
2025-02-11,88,14:40-14:50,1047.3197166666666,1004.2340322604555,1048.4053997625222,757.1418333333332,700.769659124168
2025-02-11,89,14:50-15:00,1052.95,1012.3338739939135,1038.411886390855,725.4499999999999,667.9826346825181
2025-02-11,90,15:00-15:10,1055.5424833333334,1037.8698295255303,1040.6129942332325,685.23455,632.2721576893947
2025-02-11,91,15:10-15:20,1031.0126666666667,1042.5471246915483,1038.4167695137787,636.8421333333333,593.3482648756595
2025-02-11,92,15:20-15:30,1010.52,1019.5868041842035,1025.6276377835318,590.225,548.0789630099273
2025-02-11,93,15:30-15:40,1046.2956333333334,1001.593760103383,1017.1330269838923,551.0994333333333,492.26407451756336
2025-02-11,94,15:40-15:50,1047.9752166666667,1008.5307102133397,1017.5370790779641,492.1925833333333,438.40932963149055
2025-02-11,95,15:50-16:00,1001.9200000000001,1015.4749841808739,1024.9131831355874,413.7,388.4423727789619
2025-02-11,96,16:00-16:10,985.6760833333333,1011.6523682128736,1031.4632856112871,344.6223333333333,333.478296726851
2025-02-11,97,16:10-16:20,990.2406666666667,1013.5531801116902,1021.842314056938,286.10653333333335,280.2225588015423
2025-02-11,98,16:20-16:30,1000.9683333333334,1014.1823057210073,1004.7255437349401,231.54375000000002,229.98395957921366
2025-02-11,99,16:30-16:40,1015.57345,1003.7266270382648,1004.2212795381929,177.24073333333334,177.53320355242963
2025-02-11,100,16:40-16:50,1013.6825333333333,1003.8585164862828,1003.7966085822875,132.0942,128.9050066778581
2025-02-11,101,16:50-17:00,1002.4833333333332,1014.409098188698,1001.3295285076663,92.91250000000001,83.690551653029
2025-02-11,102,17:00-17:10,1009.4268833333334,1004.129665003272,1011.0482068621236,48.293416666666666,37.71979797682368
2025-02-11,103,17:10-17:20,1015.2558166666666,988.8218071254399,1014.696914000955,14.330466666666666,8.410459528906122
2025-02-11,104,17:20-17:30,1018.9183333333334,990.649140867566,1020.6076100516208,0.0,0.0
2025-02-11,105,17:30-17:40,1017.9656666666666,1001.6975718884727,1032.5758727445836,0.0,0.021690293237255985
2025-02-11,106,17:40-17:50,893.0101166666667,904.4131223142376,907.4375448581246,0.41795,0.19134783399556543
2025-02-11,107,17:50-18:00,713.465,738.9376262186368,717.7209638795894,0.0,0.0
