date,history_start,history_end,selector,combo,risk_index,alpha,kappa,controller,best_score,runner_up_gap_yuan,combo_score_0,combo_score_1,combo_score_2,combo_score_3,combo_score_4,combo_score_5,combo_score_6,combo_score_7,combo_score_8,combo_score_9,combo_score_10,combo_score_11
2025-09-20,2025-08-23,2025-09-19,same_start,5,2,0.9,0.7,mpc,1160028.6023676498,2250.896613993449,1170517.2590388258,1163880.4701139366,1170268.0552650166,1162279.4989816432,1167981.362247885,1160028.6023676498,1171980.3934948167,1165356.0114824725,1170810.1922460576,1164045.7287113245,1176668.388852752,1170302.3114903218
2025-09-27,2025-08-30,2025-09-26,same_start,5,2,0.9,0.7,mpc,1088278.1794557176,1218.6400483641773,1099269.5739683262,1092690.8092279802,1099503.754725272,1091548.5621700122,1096310.471217513,1088278.1794557176,1097344.1377426498,1090715.193801531,1096260.5819050015,1089496.8195040817,1098404.2051840718,1092038.1278216413
2025-10-04,2025-09-06,2025-10-03,same_start,9,4,0.95,0.6,mpc,1061435.6140690197,1837.8494915675838,1081627.6666559929,1073664.3121978953,1080092.6361423195,1071407.3093954439,1072438.5976505957,1064469.9742374246,1073033.7625254316,1066404.8185843127,1068199.3764699392,1061435.6140690197,1069639.5409230178,1063273.4635605873
2025-10-11,2025-09-13,2025-10-10,same_start,9,4,0.95,0.6,mpc,1003552.0321181271,502.6099111320218,1014783.8838933274,1014446.5360033137,1010655.3497972582,1010038.6019179543,1004635.7739162141,1004147.7990067346,1012856.9708026549,1012387.802647647,1004054.6420292591,1003552.0321181271,1014818.8860799288,1014385.2023048553
2025-10-18,2025-09-20,2025-10-17,same_start,5,2,0.9,0.7,mpc,1001032.6176337868,587.5062722412404,1003003.8824308251,1002797.3075694056,1003079.4817618738,1002415.2918019502,1001665.079055702,1001032.6176337868,1002720.8866498533,1002350.5176550444,1002511.5858481795,1001620.123906028,1003066.3783224473,1002655.9522764988
2025-10-25,2025-09-27,2025-10-24,same_start,5,2,0.9,0.7,mpc,1012314.709905621,349.99024254851975,1014452.5951740977,1014375.3513057777,1014774.6839253298,1014143.6893643761,1012977.1795516568,1012314.709905621,1013121.0335827261,1012664.7001481695,1015901.7689513187,1014914.3556923001,1014508.5452003869,1014015.8563422797
2025-11-01,2025-10-04,2025-10-31,same_start,7,3,0.9,0.8,mpc,1030729.4392556534,71.72987246129196,1033263.3785016962,1032463.3483943052,1032854.6665211538,1031536.4124385214,1032807.6930709268,1031442.7891664195,1031459.104462077,1030729.4392556534,1035421.6613074784,1033698.3009001004,1031509.200470239,1030801.1691281147
2025-11-08,2025-10-11,2025-11-07,same_start,7,3,0.9,0.8,mpc,1091916.339722948,248.11518290871754,1094155.3824976517,1093704.820569446,1092880.7672499262,1092164.4549058566,1093104.6636630367,1092259.2701193339,1092206.9519234549,1091916.339722948,1095397.7101232368,1094164.9485857969,1092969.7202051294,1092667.706946241
2025-11-15,2025-10-18,2025-11-14,same_start,5,2,0.9,0.7,mpc,1150043.759872649,292.3534186282195,1154861.5144126464,1152803.1939744162,1152531.3035753185,1150483.4377611878,1151673.5196531608,1150043.759872649,1154258.120037645,1153199.2215344748,1151891.436115455,1150336.1132912773,1154942.9824395017,1154155.0264057633
2025-11-22,2025-10-25,2025-11-21,same_start,9,4,0.95,0.6,mpc,1191285.7648353777,526.6274172367994,1197233.5995486162,1195099.114000154,1193872.0977057095,1191812.3922526145,1193391.3149901098,1191822.410078546,1198949.020394597,1197980.6482599487,1192745.837476502,1191285.7648353777,1200500.4824106595,1199794.7891890795
2025-11-29,2025-11-01,2025-11-28,same_start,3,1,0.85,0.8,mpc,1236311.2949551912,212.1629629940726,1241641.366564345,1240170.7275242887,1237690.574198849,1236311.2949551912,1237467.0070718247,1236523.4579181853,1245024.7792614016,1244329.7388986205,1237960.7460012392,1237232.7010170566,1248682.0723150817,1248191.7215775196
2025-12-06,2025-11-08,2025-12-05,same_start,1,0,0.8,1.0,mpc,1355263.4534890975,2765.700168581214,1358954.5760383853,1355263.4534890975,1362679.377169234,1358029.1536576787,1367136.9249305937,1362625.9016662247,1364023.1649822872,1360643.220763341,1371337.1612435938,1366698.8576246619,1365246.7310607461,1362111.8446951027
2025-12-13,2025-11-15,2025-12-12,same_start,1,0,0.8,1.0,mpc,1486509.8237303891,555.9516774709336,1488710.546740242,1486509.8237303891,1490334.149144997,1487065.77540786,1497179.2168828975,1493574.6374567407,1497816.413774092,1495105.9566976104,1503288.3355002285,1499347.1787518547,1502472.940440153,1499800.7391202343
2025-12-20,2025-11-22,2025-12-19,same_start,1,0,0.8,1.0,mpc,1587081.674617052,1698.5792505280115,1589487.271853777,1587081.674617052,1592217.080140147,1588780.25386758,1599682.8811137895,1596104.1500077485,1599520.8145076612,1596903.8844759115,1607137.6988756412,1603355.8758712488,1605426.5600010855,1602916.6928296147
2025-12-27,2025-11-29,2025-12-26,same_start,1,0,0.8,1.0,mpc,1682035.71365404,1227.2307473178953,1685469.0295661723,1682035.71365404,1687340.6911943415,1683262.9444013578,1693340.0038636513,1689488.4255444433,1691490.116607679,1688861.086797507,1699431.1523731118,1695671.8083123704,1695606.1626114373,1693175.5545363196
