date,history_start,history_end,selector,combo,risk_index,alpha,kappa,controller,best_score,runner_up_gap_yuan,combo_score_0,combo_score_1,combo_score_2,combo_score_3,combo_score_4,combo_score_5,combo_score_6,combo_score_7,combo_score_8,combo_score_9,combo_score_10,combo_score_11
2025-07-26,2025-06-28,2025-07-25,continuous,3,1,0.85,0.8,mpc,1536161.831198999,1349.8915210820269,1546430.0762008608,1537511.722720081,1545921.4884120289,1536161.831198999,1548395.0218976098,1538975.321407809,1544229.9774167754,1539520.8829968763,1556642.268233598,1547125.91939624,1556721.8186489588,1551710.4712742714
2025-08-02,2025-07-05,2025-08-01,continuous,3,1,0.85,0.8,mpc,1518156.6530401043,2760.5205380904954,1530679.7146823364,1525594.146318352,1522753.567522846,1518156.6530401043,1525057.8187075434,1520917.1735781948,1533318.3931486276,1531334.067205654,1530744.3669891648,1526258.0363430686,1544119.9539054448,1541837.649920796
2025-08-09,2025-07-12,2025-08-08,continuous,3,1,0.85,0.8,mpc,1419553.3239961567,2266.6893178278115,1425951.9916663312,1423122.0354960097,1421820.0133139845,1419553.3239961567,1424630.942103732,1423259.668105679,1432874.508408042,1432314.6581193993,1431943.5682929233,1431224.9712074036,1445671.3043724077,1445681.9100717355
2025-08-16,2025-07-19,2025-08-15,continuous,9,4,0.95,0.6,mpc,1391526.3612197356,617.489295356907,1409188.6980715767,1401152.2630410676,1400762.253309663,1394408.1400375108,1394722.5818795424,1392579.7403592935,1401618.7994297887,1400832.9857001535,1392143.8505150925,1391526.3612197356,1404540.4111937433,1404551.0168930714
2025-08-23,2025-07-26,2025-08-22,continuous,9,4,0.95,0.6,mpc,1369735.1096822915,1922.3494907247368,1395296.7901966793,1384606.0818474072,1386775.0590028986,1378009.2826811713,1376838.5156161583,1372954.314626339,1379433.5647994266,1377087.6876251628,1371657.4591730163,1369735.1096822915,1378648.0658322677,1377598.9547488291
2025-08-30,2025-08-02,2025-08-29,continuous,9,4,0.95,0.6,mpc,1331841.4729013415,324.0912066013552,1348853.232396839,1339997.6316094466,1342371.3576718383,1334685.0375121746,1335774.703018667,1332165.5641079429,1340099.6790420825,1337738.26658641,1333756.3796164056,1331841.4729013415,1341394.495088622,1340352.826780844
2025-09-06,2025-08-09,2025-09-05,continuous,5,2,0.9,0.7,mpc,1281798.2959732749,1086.085436046822,1291841.494993235,1286501.6203317437,1287933.6669303442,1282884.3814093217,1284068.2557993277,1281798.2959732749,1289684.5682962777,1288031.5277222134,1284877.236145047,1283750.8303599115,1294444.7752694786,1293385.0584867122
2025-09-13,2025-08-16,2025-09-12,continuous,1,0,0.8,1.0,mpc,1244703.3710809033,1933.7061375242192,1253757.5606987616,1244703.3710809033,1256736.8636556517,1246637.0772184276,1257522.135964284,1248007.9179083998,1254752.2969661294,1246700.8378207132,1258682.4861558876,1250690.509045856,1256690.0947984483,1249264.3006532514
2025-09-20,2025-08-23,2025-09-19,continuous,5,2,0.9,0.7,mpc,1160025.9120874042,2234.76263787644,1170491.425992015,1163854.637067126,1170249.2310086538,1162260.6747252806,1167978.6719676396,1160025.9120874042,1172007.7854898358,1165383.4034774913,1170810.1922460576,1164045.7287113245,1176703.9332206012,1170337.855858171
2025-09-27,2025-08-30,2025-09-26,continuous,5,2,0.9,0.7,mpc,1088232.7774914338,1264.0420126481913,1099175.0441956653,1092596.2794553195,1099427.0004715652,1091471.807916305,1096265.069253229,1088232.7774914338,1097316.8080933308,1090687.864152212,1096260.5819050018,1089496.819504082,1098432.8565455782,1092066.7791831477
2025-10-04,2025-09-06,2025-10-03,continuous,9,4,0.95,0.6,mpc,1061435.6140690194,1850.8612983899657,1081554.558881086,1073591.2044229885,1080018.5441429368,1071333.2173960614,1072376.0634737657,1064407.4400605946,1072973.458945656,1066344.5150045373,1068199.3764699392,1061435.6140690194,1069652.5527298397,1063286.4753674094
2025-10-11,2025-09-13,2025-10-10,continuous,9,4,0.95,0.6,mpc,1003521.6476829135,502.6099111320218,1014835.1797953412,1014497.8319053274,1010600.8815717283,1009984.1336924245,1004635.7739162139,1004147.7990067347,1012964.000442065,1012494.8322870573,1004024.2575940455,1003521.6476829135,1014906.0982394847,1014472.4144644112
2025-10-18,2025-09-20,2025-10-17,continuous,5,2,0.9,0.7,mpc,1001017.6779874272,617.5082036178792,1003003.8824308251,1002797.3075694056,1003041.3711385882,1002377.1811786646,1001650.1394093421,1001017.6779874272,1002776.0978439627,1002405.728849154,1002526.6481331968,1001635.1861910451,1003168.2876100711,1002757.8615641227
2025-10-25,2025-09-27,2025-10-24,continuous,5,2,0.9,0.7,mpc,1012314.7099056209,400.87637884158175,1014479.5267254249,1014402.2828571049,1014766.961989815,1014135.9674288613,1012977.1795516566,1012314.7099056209,1013171.919719019,1012715.5862844625,1015918.2383198866,1014930.8250608682,1014590.083119708,1014097.3942616011
2025-11-01,2025-10-04,2025-10-31,continuous,7,3,0.9,0.8,mpc,1030765.9779132069,85.38363898533862,1033173.1590828061,1032373.1289754151,1032786.9938988424,1031468.7398162101,1032807.6930709266,1031442.7891664193,1031495.6431196304,1030765.9779132069,1035428.0142861726,1033704.6538787946,1031559.3928943168,1030851.3615521922
2025-11-08,2025-10-11,2025-11-07,continuous,7,3,0.9,0.8,mpc,1091960.7715111831,227.47849131701514,1094234.1471443635,1093783.5852161576,1092904.56234657,1092188.2500025001,1093103.5435085339,1092258.149964831,1092251.38371169,1091960.7715111831,1095397.7101232368,1094164.9485857969,1093023.0508307407,1092721.0375718523
2025-11-15,2025-10-18,2025-11-14,continuous,5,2,0.9,0.7,mpc,1150034.0358099628,302.07748131477274,1154878.2113717597,1152819.8909335292,1152513.0799237527,1150465.2141096217,1151663.7955904745,1150034.0358099628,1154302.4153949565,1153243.5168917861,1151891.4361154549,1150336.1132912776,1155007.6257732806,1154219.669739542
2025-11-22,2025-10-25,2025-11-21,continuous,9,4,0.95,0.6,mpc,1191289.0486861842,527.4026016127318,1197289.19121331,1195154.7056648475,1193876.1567408917,1191816.451287797,1193391.31499011,1191822.410078546,1199002.1638669036,1198033.7917322556,1192749.1213273082,1191289.0486861842,1200566.3142876253,1199860.6210660452
2025-11-29,2025-11-01,2025-11-28,continuous,3,1,0.85,0.8,mpc,1236312.1093670507,211.34855113434605,1241679.7473723334,1240209.108332277,1237691.3886107083,1236312.1093670507,1237467.007071825,1236523.457918185,1245066.2704673363,1244371.2301045551,1237998.2810275024,1237270.2360433198,1248773.757809898,1248283.4070723357
2025-12-06,2025-11-08,2025-12-05,continuous,1,0,0.8,1.0,mpc,1355262.3335059278,2711.69853708148,1358953.4560552153,1355262.3335059278,1362624.2555545645,1357974.0320430093,1367089.6282368037,1362578.604972435,1364023.1649822874,1360643.2207633413,1371309.9098801485,1366671.6062612166,1365278.62280332,1362143.7364376765
2025-12-13,2025-11-15,2025-12-12,continuous,1,0,0.8,1.0,mpc,1486482.4642080981,534.5084991881158,1488683.187217951,1486482.4642080981,1490285.3464444228,1487016.9727072862,1497127.9564932124,1493523.3770670556,1497816.4137740924,1495105.9566976107,1503230.0397059172,1499288.882957544,1502473.2331758984,1499801.0318559797
2025-12-20,2025-11-22,2025-12-19,continuous,1,0,0.8,1.0,mpc,1587111.9569363042,1665.7915334159043,1589517.5541730293,1587111.9569363042,1592214.574742287,1588777.7484697201,1599682.8811137895,1596104.1500077485,1599570.1619269631,1596953.2318952135,1607143.2005155191,1603361.3775111267,1605490.9050550458,1602981.0378835753
2025-12-27,2025-11-29,2025-12-26,continuous,1,0,0.8,1.0,mpc,1682007.9415782655,1213.9927706236485,1685441.2574903974,1682007.9415782655,1687299.6811418724,1683221.9343488892,1693324.6959438992,1689473.1176246912,1691526.4341369518,1688897.4043267793,1699431.1523731116,1695671.8083123704,1695668.943621925,1693238.3355468074
