date,period,slot,scheme,alpha,kappa,price_yuan_per_kwh,load_kwh,pv_kwh,plan_purchase_kwh,charge_kwh,discharge_kwh,emergency_kwh,waste_kwh,soc_start_kwh,soc_end_kwh
2025-08-12,17:30-17:40,105,2,0.82,0.875,0.976,1274.7526166666667,229.0499,1020.000049689248,0.0,25.70266697741863,0.0,0.0,10184.977860357547,10156.419341493749
2025-08-12,17:40-17:50,106,2,0.82,0.875,1.0742,1160.18195,182.1975333333333,963.9820032742122,0.0,14.002413392454514,0.0,0.0,10156.419341493749,10140.861104391022
2025-08-12,17:50-18:00,107,2,0.82,0.875,1.2313,954.4916666666666,137.81875,821.8957992124133,5.2228825457467565,0.0,0.0,0.0,10140.861104391022,10145.561698682195
2025-08-12,18:00-18:10,108,2,0.82,0.875,1.2561,899.3489666666666,94.25973333333333,837.6603152482646,32.57108191493137,0.0,0.0,0.0,10145.561698682195,10174.875672405633
2025-08-12,18:10-18:20,109,2,0.82,0.875,1.2447,931.3237333333333,51.38945,903.8684937356861,23.934210402352846,0.0,0.0,0.0,10174.875672405633,10196.41646176775
2025-08-12,18:20-18:30,110,2,0.82,0.875,1.2545,961.1866666666666,17.075,935.6847050008432,0.0,8.426961665823342,0.0,0.0,10196.41646176775,10187.053171027947
2025-08-12,18:30-18:40,111,2,0.82,0.875,1.2522,964.0256833333333,2.212183333333333,957.0201266071354,0.0,4.793373392864623,0.0,0.0,10187.053171027947,10181.727200591431
2025-08-12,18:40-18:50,112,2,0.82,0.875,1.2881,958.5941833333333,0.0,971.5807665650816,12.986583231748341,0.0,0.0,0.0,10181.727200591431,10193.415125500005
2025-08-12,18:50-19:00,113,2,0.82,0.875,1.3466,963.1949999999999,0.0,143.30971017136108,0.0,819.8852898286389,0.0,0.0,10193.415125500005,9282.43147013485
2025-08-12,19:00-19:10,114,2,0.82,0.875,1.3523,978.4065499999999,0.11341666666666667,129.34236194509015,0.0,833.3333333333333,15.617438054909826,0.0,9282.43147013485,8356.505544208925
2025-08-12,19:10-19:20,115,2,0.82,0.875,1.3445,978.70025,0.0,126.68060412239788,0.0,833.3333333333333,18.686312544268844,0.0,8356.505544208925,7430.579618282999
2025-08-12,19:20-19:30,116,2,0.82,0.875,1.3483,970.01,0.0,138.39714936126143,0.0,831.6128506387386,0.0,0.0,7430.579618282999,6506.565339795512
2025-08-12,19:30-19:40,117,2,0.82,0.875,1.349,981.0184666666667,0.00815,144.586428200829,0.0,833.3333333333333,3.0905551325043916,0.0,6506.565339795512,5580.639413869586
2025-08-12,19:40-19:50,118,2,0.82,0.875,1.3473,981.3511833333333,0.0,139.15309995627217,0.0,833.3333333333333,8.864750043727895,0.0,5580.639413869586,4654.71348794366
2025-08-12,19:50-20:00,119,2,0.82,0.875,1.3482,958.0066666666667,0.0,135.10182188351519,0.0,822.9048447831515,0.0,0.0,4654.71348794366,3740.374771517936
2025-08-12,20:00-20:10,120,2,0.82,0.875,1.3513,932.2601166666666,0.0005833333333333333,145.81915460647076,0.0,786.4403787268625,0.0,0.0,3740.374771517936,2866.552128488089
